City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,buka,40.8108,69.1986,15.36,39,0,1.41,UZ,1684976328
114,alice springs,-23.7,133.8833,18.75,27,0,0.0,AU,1684976135
115,haiku-pauwela,20.9219,-156.3051,28.01,65,40,13.38,US,1684976328
116,anadyr,64.75,177.4833,6.28,70,20,3.0,RU,1684976260
117,bebedja,8.6761,16.566,27.92,54,99,1.81,TD,1684976328
118,carolina beach,34.0352,-77.8936,22.04,66,94,6.06,US,1684976328
119,dryden,49.7833,-92.7503,16.16,23,0,6.69,CA,1684976328
120,port elizabeth,-33.918,25.5701,17.4,88,0,5.66,ZA,1684976328
121,al bardiyah,31.7561,25.0865,18.64,85,0,4.34,LY,1684976328
122,hamilton,39.1834,-84.5333,26.47,46,75,4.12,US,1684976122
123,caucete,-31.6518,-68.2811,17.37,63,6,2.37,AR,1684976329
124,minas de marcona,-15.2119,-75.1103,15.05,86,76,4.78,PE,1684976329
125,novyy urengoy,66.0833,76.6333,1.14,93,42,2.22,RU,1684976329
126,jeddah,21.5169,39.2192,30.92,58,0,1.03,SA,1684976329
127,maraba,-5.3686,-49.1178,26.1,100,0,0.0,BR,1684976329
128,chengde,40.9725,117.9361,20.79,46,5,3.44,CN,1684976329
129,urangan,-25.3,152.9,20.98,61,0,2.78,AU,1684976292
130,polyarnyy,69.1989,33.4478,11.27,67,100,7.5,RU,1684976329
131,kristiansund,63.1115,7.732,7.36,76,75,10.8,NO,1684976126
132,tommot,58.9564,126.2925,12.8,47,29,1.17,RU,1684976330
133,rexburg,43.826,-111.7897,18.99,46,0,1.54,US,1684976322
134,mount isa,-20.7333,139.5,24.87,33,0,4.63,AU,1684976140
135,kodiak,57.79,-152.4072,7.73,81,100,6.17,US,1684976330
136,udachny,66.4167,112.4,0.25,92,100,6.79,RU,1684976330
137,kavaratti,10.5669,72.642,29.47,68,4,2.34,IN,1684976330
138,aspen,39.1911,-106.8175,14.69,36,20,2.57,US,1684976033
139,kailua-kona,19.6406,-155.9956,26.98,85,75,3.6,US,1684975967
140,pocahontas,36.2615,-90.9712,27.95,55,100,3.6,US,1684976330
141,guerrero negro,27.9769,-114.0611,17.86,68,6,7.76,MX,1684976255
142,avarua,-21.2078,-159.775,28.03,69,22,6.17,CK,1684976330
143,boulazac,45.1167,0.75,12.48,65,0,3.58,FR,1684976331
144,utrik,11.2278,169.8474,27.56,78,100,7.07,MH,1684976331
145,viedma,-40.8135,-62.9967,13.76,30,99,4.39,AR,1684976331
146,alofi,-19.0595,-169.9187,24.94,22,75,2.57,NU,1684976331
147,pisco,-13.7,-76.2167,21.03,83,0,5.14,PE,1684976331
148,prado,-17.3411,-39.2208,22.44,90,54,4.13,BR,1684976331
149,tralee,52.2704,-9.7026,9.7,97,20,1.24,IE,1684976331
150,villa juarez,24.6536,-107.5411,30.41,33,100,5.75,MX,1684976332
151,kingston,17.997,-76.7936,28.53,80,20,1.54,JM,1684976226
152,kapuskasing,49.4169,-82.4331,11.0,32,0,4.12,CA,1684976332
153,coquimbo,-29.9533,-71.3436,14.85,94,0,2.06,CL,1684976332
154,palopo,-2.9996,120.1921,27.16,78,100,1.07,ID,1684976332
155,la passe,45.5549,-0.8967,15.13,76,30,6.12,FR,1684976266
156,west bay,19.3667,-81.4167,30.04,76,20,4.12,KY,1684976332
157,kokopo,-4.352,152.2633,24.77,89,100,1.41,PG,1684976332
158,college,64.8569,-147.8028,20.05,34,75,4.12,US,1684976332
159,sinop,41.7711,34.8709,10.65,86,5,1.31,TR,1684975988
160,hermanus,-34.4187,19.2345,14.33,77,100,6.35,ZA,1684976265
161,quellon,-43.1167,-73.6167,8.63,76,98,7.49,CL,1684976332
162,tot'ma,59.9747,42.7642,12.96,98,20,3.05,RU,1684976333
163,pemba,-12.974,40.5178,22.39,94,20,2.57,MZ,1684976118
164,urucara,-2.5364,-57.76,25.25,86,62,0.93,BR,1684976333
165,settat,33.0007,-7.6204,14.9,89,0,2.43,MA,1684976333
166,kone,-21.0595,164.8658,25.5,43,19,3.94,NC,1684976107
167,dalnegorsk,44.5604,135.5701,25.0,27,75,2.23,RU,1684976333
168,takestan,36.0696,49.6959,20.83,50,99,2.42,IR,1684976333
169,timmins,48.4669,-81.3331,9.9,34,40,3.6,CA,1684976333
170,carnarvon,-24.8667,113.6333,19.6,68,100,9.41,AU,1684976333
171,pedernales,18.0384,-71.744,26.93,76,9,0.37,DO,1684976333
172,chonchi,-42.6128,-73.8092,7.77,79,75,4.61,CL,1684976267
173,manicore,-5.8092,-61.3003,23.89,95,76,0.25,BR,1684976334
174,ixtapa,20.7,-105.2,29.01,74,20,6.69,MX,1684975811
175,thompson,55.7435,-97.8558,20.09,22,75,4.12,CA,1684976266
176,kenai,60.5544,-151.2583,15.05,54,100,6.69,US,1684976334
177,pathein,16.7833,94.7333,31.1,53,18,4.81,MM,1684976334
178,bogale,16.2833,95.4,30.58,56,15,5.41,MM,1684976334
179,mazagao,-0.115,-51.2894,27.03,97,74,1.36,BR,1684976334
180,chancay,-11.5714,-77.2672,20.72,84,66,3.27,PE,1684976334
181,stolzenau,52.5167,9.0667,9.49,96,2,2.25,DE,1684976334
182,seme,15.1942,-12.9448,34.37,18,99,8.91,SN,1684976335
183,turochak,52.2576,87.1224,10.6,48,16,1.02,RU,1684976335
184,gusev,54.5922,22.1997,13.2,75,80,1.85,RU,1684976335
185,keelung,25.1283,121.7419,27.81,80,44,0.73,TW,1684976335
186,gurupa,-1.405,-51.64,23.38,97,21,1.44,BR,1684976335
187,'alaqahdari dishu,30.4374,63.313,25.7,22,0,2.44,AF,1684976335
188,isafjordur,66.0755,-23.124,3.61,72,78,13.65,IS,1684976261
189,kajaani,64.2273,27.7285,10.03,93,0,0.51,FI,1684976335
190,bengkulu,-3.8004,102.2655,26.15,80,12,1.69,ID,1684976335
191,susuman,62.7833,148.1667,5.4,53,100,2.91,RU,1684976257
192,lihue,21.9789,-159.3672,27.58,69,40,7.72,US,1684976335
193,minot air force base,48.4209,-101.3391,28.1,36,0,9.26,US,1684976335
194,hasaki,35.7333,140.8333,20.16,56,100,2.27,JP,1684976336
195,morehead city,34.7229,-76.726,20.02,70,0,4.12,US,1684976336
196,puerto san jose,13.9256,-90.8244,26.2,91,100,1.28,GT,1684976336
197,newman,37.3138,-121.0208,25.69,41,1,5.81,US,1684976336
198,saint-joseph,-21.3667,55.6167,22.21,86,100,3.8,RE,1684976336
199,villa union,23.2,-106.2333,28.84,78,100,3.91,MX,1684976336
200,constantia,44.1833,28.65,15.39,83,36,1.66,RO,1684976336
201,longyearbyen,78.2186,15.6401,2.91,70,75,4.63,SJ,1684976256
202,vadso,70.0744,29.7487,9.49,71,75,5.14,NO,1684976267
203,chornomors'k,46.305,30.6548,16.67,82,14,3.71,UA,1684976336
204,atafu village,-8.5421,-172.5159,27.85,71,85,0.89,TK,1684976255
205,narvik,68.4384,17.4272,4.67,93,100,3.86,NO,1684976298
206,lincoln,40.8,-96.667,28.95,64,0,4.12,US,1684975528
207,norderney,53.7,7.15,10.57,97,19,4.95,DE,1684976337
208,griffith,41.5284,-87.4237,15.14,66,60,5.93,US,1684976337
209,torbat-e jam,35.244,60.6225,21.51,30,0,3.95,IR,1684976337
210,arkalyk,50.2486,66.9114,16.53,39,0,3.06,KZ,1684976337
211,portland,45.5234,-122.6762,24.41,43,20,7.2,US,1684975907
212,zelenogorskiy,55.0333,87.0,8.94,47,13,2.05,RU,1684976337
213,ponta delgada,37.7333,-25.6667,16.4,82,75,4.63,PT,1684976337
214,port augusta,-32.5,137.7667,18.31,29,100,5.76,AU,1684976244
215,boa vista,2.8197,-60.6733,25.99,83,75,3.09,BR,1684976323
216,ola,59.5833,151.2833,3.24,76,100,2.2,RU,1684976260
217,santa ana,33.7456,-117.8678,22.03,69,100,4.12,US,1684975909
218,kapa'a,22.0752,-159.319,27.99,69,40,7.72,US,1684976248
219,saint-louis,16.3333,-15.0,32.8,20,100,8.4,SN,1684976338
220,holualoa,19.6228,-155.9522,24.91,84,75,3.6,US,1684976338
221,papao,-17.75,-149.55,28.82,77,59,2.68,PF,1684976109
222,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,1684976338
223,fort st. john,56.2499,-120.8529,16.94,51,75,4.63,CA,1684976245
224,sanctuary point,-35.1114,150.629,16.29,35,100,3.92,AU,1684976338
225,bac lieu,9.285,105.7244,30.38,65,100,5.59,VN,1684976338
226,ta`u,-14.2336,-169.5144,27.01,78,86,1.48,AS,1684976253
